emotion,utterance
sadness,i ve been talking to you for five minutes now about killing myself and no one s even looked up from their desk
surprise,god
sadness,well apparently not and i can t just stand by and watch two people i care about very much be hurt over something that is so silly
neutral,i guess i set up the video camera to try and entice joey
sadness,i kinda feel like its my fault
fear,but now that you re not i d really like to ask you out sometime
non-neutral,i guess joey was right it does nothing
fear,i can t live like this what are we gonna do what are we gonna do
sadness,knowing ill never hold you in my arms again or touch your skin or feel your lips knowing ill never make love to you
non-neutral,will you marry me
neutral,i have a question about this scene
surprise,david what what are you doing here aren t you supposed to be in russia
sadness,no sorry
disgust,thats nice get out lets go come on
non-neutral,im sorry im sorry phoebe its just a little shorter than what we had discussed
disgust,you sound like a guy
sadness,ah i i never should have said what i said
joy,yeah you re great okay let s take it from
joy,oh good
disgust,and the two times we went out were just plain awkward
non-neutral,no no no no one can beat me
anger,so if you can help me find my father then you should
non-neutral,what is wrong with emma
neutral,lucky sixes
sadness,well we re gonna miss you around here
sadness,you re right i m sorry
joy,i do i do
neutral,im back
neutral,okay
surprise,ross where did you get this
disgust,aww i dont want to see that
surprise,ow ow contraction ow ow ow ow
disgust,do you have any respect for your body
non-neutral,don t be so negative good god isn t it possible that sorry is sitting in there right now
anger,no the quiet down thing
sadness,yknow i mean i i im an actor i dont have the discipline that takes yknow
disgust,oh this is just terrible
neutral,it s not for me it s for rachel
surprise,excuse me
surprise,hey look were on that tv thing
disgust,oh i m sorry of course i mean that interesting idea umm talk about it but no
joy,hey
sadness,because its impossible to find her apartment she lives in some like of hot girl parallel universe or something
fear,go go go go go go go go go go
neutral,na uh no we are all responsible for our own babies
fear,run run you crazy rich freak
disgust,oh sure every sunday night im telling myself im quitting but every monday morning its like
neutral,yknow what you should do you should get her one of those um barium enemas
joy,oooh it s getting close
anger,and stop using my name
sadness,we re so sorry
fear,im telling you somethings wrong my brother does not stay out all night
non-neutral,no you didnt you said you would but you never did
sadness,well i i guess i gotta go
fear,uh oh
neutral,yeah that s right
sadness,yeah well umm
neutral,i think you ve made such a nice home for her over the last nine months that she just doesn t want to leave
fear,okay okay okay should i be scared
anger,okay well my girl from the other night was special she was a scientist too
anger,oh really that s how treat a friend you get her in trouble and then refuse to marry her
joy,hey mon
joy,hey
joy,if i were omnipotent for a day i would want um world peace no more hunger good things for the rain forest and bigger boobs
disgust,and hes being mr joe sensitive and she starts thinking maybe this is the guy for me because he understands me
anger,big deal
non-neutral,is this my fault
joy,last night i just felt it and i went into joey s room and he was sleeping
disgust,well this doesn t even smell like opium
anger,i am not high maintenance
surprise,no way
neutral,all right ill give you this mr peanut is a better dresser
anger,hey i did not dump rachel nor are we still together can i just why don t we just let the machine get that
neutral,okay
sadness,look i know things have been a little tight since janine moved out
fear,no no rachel don t get it he can t see us
sadness,i m sorry chandler y know you are such a sweet guy and i i don t want to hurt you
joy,and heres this little baby who has like three whole parents who care about it so much that theyre fighting over who gets to love it the most
joy,do it
anger,fine
surprise,thats it
non-neutral,we were playing chess you said i was boring and then you took off your energy mask and you were cameron diaz
joy,yeah cheerie o
disgust,she ll drive us totally crazy
neutral,yes i do
disgust,you guys can we please not watch this all right
surprise,eh i mean i mena shes not unattractive but hot i
sadness,look im sorry all right
non-neutral,hey hey hey now this was no one s fault pheebs okay it was an accident
anger,then dont touch one
surprise,water breaking what do you mean whats that water breaking
sadness,please promise me that you ll tell her that
non-neutral,let s go big bunny
disgust,what are you talking about mindy the guy is the devil hes satan in a smock
anger,this is totally your fault
disgust,yeah well you wouldnt think it was cool if youre eleven years old and all your friends are passing around page of mistress bitch
non-neutral,oh my god oh my god
surprise,oh did you catch him
non-neutral,why not
anger,yeah well theres a lot of things carol never did before i came along
disgust,or maybe you would see me looking embarrassed because you are talking on the phone with your crotch
anger,well are any of those people here
neutral,well thats not a third nipple
sadness,i thought so many times about calling him and asking him out i guess i really missed my chance
joy,yeah
surprise,oh my god who is it
anger,get up
non-neutral,no hey i get that okay i get that big time
surprise,toby oh for gods sake i dont know what shes talking about
surprise,is he crazy you just had ross s baby
disgust,oh yeah first off all chasing the churo guy isnt jogging
fear,it s it s too soon
neutral,i just wanna clarify this are you outing mr peanut
joy,how ya doin welcome good to see ya
surprise,aww look at the little thing
fear,yes
surprise,this one doesnt hurt either ooh yes it does
fear,i i am brave
disgust,god i feel violated
disgust,oh no no wait that s weird
anger,well i don t want to talk to you wayne
disgust,hey pheebs could you please not put your feet up on my new old sheet
non-neutral,could we talk about this later
surprise,hey
disgust,oh so youre saying youd choose convenience over health
joy,whoo hoo
sadness,this is hard
disgust,we are bad people
surprise,no
fear,no thanks i have a good one too i just i i can t see him
non-neutral,he s got something plastic lodged in his throat we ve got to go to the hospital
joy,okay you hard worker i ll remember to put that in your evaluation
non-neutral,hey
joy,hi
surprise,he asked you out
neutral,okay well thats one less thing we have to do on monday
non-neutral,hey buddy are you familiar with section b of the health code that requires all refuse material out the
neutral,gimme this
joy,oh cmon shes a person you can do it
neutral,yeah me too
surprise,oh barry come on this is all way too
joy,you re the first guest at hotel monica
neutral,i totally forgot about tonight and the fact that we re supposed to
disgust,oh aint that nice the three of you trying on slutty lingerie together
disgust,i dont know were talking about whipped fish monica im just happy im keeping it down yknow
neutral,thank you im going to rejoin my dinner party
surprise,i didn t do that who would ve done that
neutral,yeah a lot a lot a lot
disgust,no
disgust,no it was painful oh my god they should call it pain zine now with a little wax
non-neutral,oh thats too bad bye bye
surprise,yeah what what are you doing here
neutral,monica and rachel made out
surprise,what why
neutral,jen
joy,okay elizabeth hurely
disgust,fine okay enjoy your concert
non-neutral,i got my ss back
disgust,pheebs wake up and smell the restraining order
surprise,are you sure
non-neutral,i feel like we re the only two people in the world oops sorry
non-neutral,yeah thats the same as it has something to do with wind
joy,i got my hair coloured
fear,no no you can t you can t okay you can t you can t buy her pearls you just can t you can t you can t
neutral,we fell asleep that is all
anger,y know what would really help me through this tough time is choking something can i choke ya
joy,hey
joy,tomorrow night it is then i should be out of court by six
anger,okay joey first of all kash ford is not people second of all what did he say when you told him i was pregnant
sadness,car accident
disgust,oh yknow joey you are sick
anger,i m gonna make it on my own
sadness,great monica yknow what you couldve called i have been up here ive been worried
anger,shhhh
sadness,i m sorry i m so sorry
non-neutral,yeah you suck and shut up and go home
anger,and now pheebs you re doing the same thing
sadness,your good heart rach and and
neutral,he had c h e e s e
fear,um no
surprise,after she gave me that big speech
disgust,please im not going for anything
anger,that s my job
joy,yes yes i m the next caller you were gonna have me hang up
surprise,what did you just say
sadness,joey i can t stand the thought of having this baby with you mad at me
surprise,it worked
joy,oh that is so sweet
non-neutral,oh come on what am i gonna do its been hours and it won t stop crying
non-neutral,and do you remember going into my purse and stealing the phone
sadness,cause shes shes alone now and pregnant and and sad
joy,yeah
disgust,the next time you want to dump a fire alarm in a trash chute don t wrap it in a blanket that says property of phoebe buffay not monica
anger,now look i deserve to know where i came from
non-neutral,just being friendly
neutral,oh absolutely i like it even more on you than i did on colonel sanders ross ross i m kidding
surprise,what
non-neutral,but hey look you know the good thing is is that we spent the whole day together and i survived and whats even more amazing so did she
surprise,what
non-neutral,well i m sorry i thought you said it was okay
disgust,but i stand by my review i know food and that wasn t it
surprise,oh a subscription to
surprise,oh
sadness,i know i know but can we please try it again huh i mean you were
disgust,okay lady youre out of here
anger,rachel karen green wheres the other earring
sadness,i m sorry i know this must be really hard it s over
anger,and i m happy for ya but i m tired of having a relationship with your answering machine
non-neutral,y know one of them had never been to a bachelor party before
surprise,yeah
fear,really you think so
neutral,yeah
surprise,wow
surprise,am i naked again
fear,please right now no every time i see him it s like is it on the lose is it watching me
anger,tiger dragon iceberg joseph did you even study at all last night
non-neutral,just let me finish okay
fear,im not fine here she comes
non-neutral,in fact i i i was married to one of them
disgust,i don t mind paying my dues yknow its just how much am i gonna learn about fashion by walking mira the arthritic seamstress to the bathroom
fear,yes yes yes i did but but it was it was just a one night thing it meant nothing
neutral,but ehm
disgust,nah
anger,when i get up there i m going to kick some ass
joy,hello one marriage please
disgust,oh my god stu i i can t believe you did this now are you absolutely sure she s a hooker
neutral,okay this is what i m talking about this i i need to live in a land where people can spill
fear,i dont know you guys
joy,well i m gonna fill in for him as food critic for the chelsea reporter
neutral,i don t want to say
non-neutral,it was funny til i started feeling like i was in a coffin
neutral,i do know
fear,does it
surprise,what what what is it
disgust,see theres always one guy if i had a wish id wish for three more wishes
anger,who cares
non-neutral,well i ve forgotten what it tastes like okay
fear,shh get me out of here
fear,ooh ah okay
joy,yeah
anger,fine you go learn from your qualified instructor but dont come crying to me when everyones sick and tired of hearing you play
surprise,phoebe what what happened here
disgust,that s a good idea dear janice have a hubba bubba birthday i would like to get her something serious
neutral,what are these
neutral,hold it hold it
non-neutral,i know my grandmother s gonna see this
disgust,no no how you doing man i mean not even a cup of coffee first
surprise,what
surprise,ohh
sadness,it just doesnt matter how i feel
non-neutral,yeah
disgust,no
joy,that was amazing
neutral,yeah she finally stopped crying yesterday but then she found one of richards cigar butts out on the terrace so
fear,wait wait wait do you do you think maybe we shouldn t invite her
anger,i have a bone to pick with you
fear,what is it my breath
fear,oh now daddy stay calm please
surprise,what are you talking about alone what about ross
neutral,okay joey tribbiani invited me back to his apartment now does he do this with a lot of girls
joy,you are not going to believe it joshua came into work today and guess what happened
disgust,you are both idiots
anger,you had no right to tell me you ever had feelings for me
anger,what kind of father do you think i am
surprise,including me
sadness,i mean it s the end of an era
surprise,what why joey you were so ready for it
anger,isnt
joy,okay
disgust,but you will always be the guy who peed on me
sadness,i think we do why don t we go inside look uh i know why you re here
non-neutral,he is right isn t he
anger,it s only fair
fear,oh god okay alright alright okay ross please dont hate me
anger,your friends are outta here pal
disgust,they were huge when she sneezed bats flew out of them
fear,what did what did he say
sadness,i should just go on to happier things okay umm why don t you tell about your lovely wedding
non-neutral,we re not peeking
joy,all right i ll have a sandwich
anger,oh my god chandler the one you picked is gone it s over
neutral,oh y know what
disgust,well he made rachel cry
non-neutral,yknow this kind of co dependant emotionally stunted sitting in your stupid coffee house with your stupid big cups which im sorry might as well have nipples on them and youre like all oh define me
sadness,yeah i know im im just not that bright either
anger,what about my children drake huh no no no god
joy,me too
joy,okay absolutely
anger,ohh ho hooohhh the hair comes out and the gloves come on
disgust,it made me nuts
disgust,i dont care rach look i am tired of being the guy who knows all the secrets but cant tell anyone
sadness,well its official there are no good movies
sadness,cause all i ever get to do now is pregnant stuff it just bums me out
neutral,okay i do
anger,i could ve been killed i hope you know
joy,i m so happy for me
joy,that s right you lose sucker please still marry me
neutral,no no stay right there gettin closer
surprise,you do that every year
anger,and if and if you don t understand how important this is to me well then perhaps we shouldn t get married at all
joy,i know i almost called off my wedding oh who s your band
fear,ross umm youve been in there for a long time im starting to get kinda freaked out
non-neutral,all right let s do it
joy,wait a second i could star in it
neutral,okay it ll take just a little while to prepare the embryos
non-neutral,oh it s already closed chris gave me the keys to lock up what is wrong
anger,that s right wesley i just stopped by to say that you re not a real doctor and that woman s brain is fine
sadness,then she ll have to come back here and live all alone
fear,uhh i think i just got engaged
neutral,if you re anxious there are a few ways to help things along
fear,this is the only dessert and if i screw it up everybodys gonna be like oh remember that thanksgiving when rachel screwed up the trifle
surprise,oh my god i can t believe this is a real check oh this is just so exciting
fear,how do you know
fear,easy easy you have to go to the hospital okay
surprise,i m sorry it s just that you re so incredibly beautiful
joy,oh oi ho yeah
fear,no no no no
anger,all right well there you go stop it stop it stop it
neutral,see ya then
surprise,why
neutral,how does that sound
neutral,no no to test his neck strength
sadness,its i mean its nothing im fine
fear,okay
neutral,uh huh
fear,oh no could i get anyone a coffee or poison no just for me okay
non-neutral,really that s the thing i m worse at you ll see
sadness,were sorry
fear,but if
disgust,all right fine dont do anything just sit here and talk to us meanwhile she is talking to him about you
sadness,ohh that s too bad
sadness,everything s ruined my bed my clothes look at my favorite blue sweater
sadness,you do attract some stinkers
fear,dont let him in im supposed to be at a regatta gala
neutral,okay
disgust,of course i didn t get to enjoy any of that because joanna s such a
neutral,okay goes over and fluffs up the pillows on the couch
anger,oh my god i love ross i hate ross i love ross i hate ross
neutral,hmm
fear,all right here he comes i m gonna do this i m gonna tell him i m gonna be strong
non-neutral,because i lose her stuff
joy,god you have to tell me what happens tomorrow
surprise,youre over me
surprise,really
anger,im just gonna go over there and confront them right now
sadness,really it s nothing i m just
neutral,come on you
anger,toby i m not gonna let you cover for him anything you say right now will just get me more upset with chandler
anger,fine
anger,and you can leave the hurt bunny look over there too
disgust,noo
joy,my surprise party
anger,phoebe you said it was urgent
non-neutral,ezels
non-neutral,dude what are yo you trying to kill me
non-neutral,oh
non-neutral,i don t think i d be comfortable with any of my old lovers there
non-neutral,so anyway um his head is like flopping down broadway right and im just thinking how inappropriate this is
non-neutral,well she ll understand right it s not like i did it on purpose
anger,okay
anger,out
anger,chandler we have talked about this
surprise,he does
disgust,oh no no no no last time i left a spontaneous message i ended up using the phrase yes indeedy o
non-neutral,you want a cousin right now
joy,that s right
surprise,look at that guy by the window wow
fear,it it it s no big deal all right i m i m cool
surprise,i still don t get it we didn t do anything wrong
fear,ross ross ross ross stay away from that guy and that guy and that one dude they re all huge
sadness,i dont want to be single okay i just i just i just wanna be married again
anger,it s not fair ross we got here first
non-neutral,oh sure i m sure
disgust,man we gotta do something about that guy
non-neutral,listen phoebe
